timestamp,station,pm25_ugm3,temperature_c,humidity_pct,wind_speed_ms,wind_direction_deg,is_anomaly,hour,month,dow
2022-01-01 00:00:00,Centro,11.76,24.5,66.6,0.48,183.3,0,0,1,5
2022-01-01 01:00:00,Centro,3.64,24.4,63.3,0.5,75.2,0,1,1,5
2022-01-01 02:00:00,Centro,7.13,27.1,64.3,2.85,345.2,0,2,1,5
2022-01-01 03:00:00,Centro,11.01,27.3,61.3,1.28,294.2,0,3,1,5
2022-01-01 04:00:00,Centro,9.32,28.9,48.0,6.11,224.9,0,4,1,5
2022-01-01 05:00:00,Centro,16.1,26.6,51.4,3.56,251.2,0,5,1,5
2022-01-01 06:00:00,Centro,19.97,27.5,53.9,1.25,348.4,0,6,1,5
2022-01-01 07:00:00,Centro,16.83,25.7,51.2,2.26,199.2,0,7,1,5
2022-01-01 08:00:00,Centro,31.53,26.0,51.1,1.71,228.3,0,8,1,5
2022-01-01 09:00:00,Centro,32.96,23.9,48.5,2.89,252.1,0,9,1,5
2022-01-01 10:00:00,Centro,30.44,20.8,55.6,0.65,184.7,0,10,1,5
2022-01-01 11:00:00,Centro,33.75,19.7,70.5,6.41,59.2,0,11,1,5
2022-01-01 12:00:00,Centro,36.96,21.1,76.7,0.22,52.9,0,12,1,5
2022-01-01 13:00:00,Centro,33.38,18.8,68.7,0.08,87.9,0,13,1,5
2022-01-01 14:00:00,Centro,31.95,17.1,82.5,3.78,171.4,0,14,1,5
2022-01-01 15:00:00,Centro,24.72,16.0,74.5,0.48,10.5,0,15,1,5
2022-01-01 16:00:00,Centro,29.64,15.8,86.4,0.38,350.4,0,16,1,5
2022-01-01 17:00:00,Centro,24.29,15.6,82.5,0.07,107.3,0,17,1,5
2022-01-01 18:00:00,Centro,21.0,16.1,86.0,0.9,237.2,0,18,1,5
2022-01-01 19:00:00,Centro,9.91,17.6,89.5,1.64,38.8,0,19,1,5
2022-01-01 20:00:00,Centro,19.0,19.2,84.5,0.88,136.5,0,20,1,5
2022-01-01 21:00:00,Centro,9.9,18.6,86.1,1.96,93.2,0,21,1,5
2022-01-01 22:00:00,Centro,5.35,20.2,74.0,0.51,2.1,0,22,1,5
2022-01-01 23:00:00,Centro,13.51,23.4,80.4,0.83,150.7,0,23,1,5
2022-01-02 00:00:00,Centro,4.69,24.4,74.9,0.71,40.4,0,0,1,6
2022-01-02 01:00:00,Centro,0.0,25.5,56.1,0.48,168.6,0,1,1,6
2022-01-02 02:00:00,Centro,5.25,28.2,61.6,4.2,180.1,0,2,1,6
2022-01-02 03:00:00,Centro,0.1,28.2,58.2,0.42,8.8,0,3,1,6
2022-01-02 04:00:00,Centro,16.55,27.4,57.3,10.07,95.1,0,4,1,6
2022-01-02 05:00:00,Centro,14.3,26.7,55.9,4.88,162.2,0,5,1,6
2022-01-02 06:00:00,Centro,16.87,27.5,55.9,0.95,305.6,0,6,1,6
2022-01-02 07:00:00,Centro,28.01,26.9,51.4,3.35,78.6,0,7,1,6
2022-01-02 08:00:00,Centro,20.73,22.6,52.5,0.1,211.8,0,8,1,6
2022-01-02 09:00:00,Centro,32.58,24.1,62.2,2.48,309.8,0,9,1,6
2022-01-02 10:00:00,Centro,24.56,23.9,53.3,1.32,262.9,0,10,1,6
2022-01-02 11:00:00,Centro,31.66,21.0,58.2,1.76,39.2,0,11,1,6
2022-01-02 12:00:00,Centro,30.0,20.0,66.9,1.19,190.4,0,12,1,6
2022-01-02 13:00:00,Centro,40.15,17.0,78.3,1.64,265.9,0,13,1,6
2022-01-02 14:00:00,Centro,39.86,17.1,74.5,2.79,41.9,0,14,1,6
2022-01-02 15:00:00,Centro,29.09,16.8,71.1,3.17,103.7,0,15,1,6
2022-01-02 16:00:00,Centro,30.66,17.6,76.6,4.05,333.1,0,16,1,6
2022-01-02 17:00:00,Centro,22.95,15.8,87.8,0.43,341.9,0,17,1,6
2022-01-02 18:00:00,Centro,22.06,16.5,75.0,1.97,194.6,0,18,1,6
2022-01-02 19:00:00,Centro,12.88,19.4,77.6,0.03,121.8,0,19,1,6
2022-01-02 20:00:00,Centro,5.44,18.2,80.6,5.26,115.9,0,20,1,6
2022-01-02 21:00:00,Centro,1.95,20.6,67.9,1.51,164.0,0,21,1,6
2022-01-02 22:00:00,Centro,8.3,21.8,79.4,10.32,297.9,0,22,1,6
2022-01-02 23:00:00,Centro,14.26,22.3,69.7,0.32,95.7,0,23,1,6
2022-01-03 00:00:00,Centro,5.83,25.4,78.5,0.31,39.4,0,0,1,0
2022-01-03 01:00:00,Centro,3.16,25.9,67.8,4.42,63.4,0,1,1,0
2022-01-03 02:00:00,Centro,14.4,26.9,62.4,0.99,294.7,0,2,1,0
2022-01-03 03:00:00,Centro,10.08,29.3,54.6,4.92,122.7,0,3,1,0
2022-01-03 04:00:00,Centro,12.64,25.6,55.3,2.26,13.0,0,4,1,0
2022-01-03 05:00:00,Centro,16.85,28.1,50.0,9.23,97.4,0,5,1,0
2022-01-03 06:00:00,Centro,19.19,27.1,57.8,2.84,179.0,0,6,1,0
2022-01-03 07:00:00,Centro,22.36,26.6,49.3,2.65,85.8,0,7,1,0
2022-01-03 08:00:00,Centro,21.47,24.9,57.4,2.04,5.1,0,8,1,0
2022-01-03 09:00:00,Centro,32.32,23.1,52.3,2.57,284.7,0,9,1,0
2022-01-03 10:00:00,Centro,32.31,22.2,68.2,0.07,311.8,0,10,1,0
2022-01-03 11:00:00,Centro,38.96,21.0,60.5,1.98,171.4,0,11,1,0
2022-01-03 12:00:00,Centro,33.21,19.8,74.8,1.45,91.0,0,12,1,0
2022-01-03 13:00:00,Centro,26.55,17.4,69.5,1.22,318.2,0,13,1,0
2022-01-03 14:00:00,Centro,32.27,17.4,68.1,1.91,113.9,0,14,1,0
2022-01-03 15:00:00,Centro,37.08,16.1,82.9,3.93,34.7,0,15,1,0
2022-01-03 16:00:00,Centro,25.64,15.4,78.0,1.29,224.1,0,16,1,0
2022-01-03 17:00:00,Centro,19.99,16.9,91.6,2.24,163.8,0,17,1,0
2022-01-03 18:00:00,Centro,14.88,17.1,85.4,3.46,213.0,0,18,1,0
2022-01-03 19:00:00,Centro,11.57,18.4,91.4,9.05,261.0,0,19,1,0
2022-01-03 20:00:00,Centro,10.95,18.7,88.6,6.34,238.1,0,20,1,0
2022-01-03 21:00:00,Centro,4.32,18.9,76.3,8.51,144.0,0,21,1,0
2022-01-03 22:00:00,Centro,12.64,22.8,70.6,1.25,5.8,0,22,1,0
2022-01-03 23:00:00,Centro,4.01,23.4,77.4,2.19,12.5,0,23,1,0
2022-01-04 00:00:00,Centro,5.06,24.0,63.3,7.15,326.7,0,0,1,1
2022-01-04 01:00:00,Centro,10.89,24.9,66.1,0.27,245.0,0,1,1,1
2022-01-04 02:00:00,Centro,12.64,27.8,52.9,2.19,14.5,0,2,1,1
2022-01-04 03:00:00,Centro,8.15,28.0,58.6,7.37,73.5,0,3,1,1
2022-01-04 04:00:00,Centro,13.44,28.9,59.0,0.53,202.2,0,4,1,1
2022-01-04 05:00:00,Centro,18.66,27.9,49.0,1.12,223.9,0,5,1,1
2022-01-04 06:00:00,Centro,18.83,26.5,53.7,4.69,138.8,0,6,1,1
2022-01-04 07:00:00,Centro,16.36,25.8,52.6,0.25,186.6,0,7,1,1
2022-01-04 08:00:00,Centro,29.71,25.6,59.9,6.69,312.3,0,8,1,1
2022-01-04 09:00:00,Centro,33.77,22.7,55.8,1.42,145.5,0,9,1,1
2022-01-04 10:00:00,Centro,34.23,22.0,62.2,3.78,333.8,0,10,1,1
2022-01-04 11:00:00,Centro,30.37,20.1,59.1,1.28,94.5,0,11,1,1
2022-01-04 12:00:00,Centro,33.78,18.7,68.9,6.07,25.3,0,12,1,1
2022-01-04 13:00:00,Centro,31.69,20.9,83.7,1.69,62.4,0,13,1,1
2022-01-04 14:00:00,Centro,31.35,14.9,75.2,8.85,77.1,0,14,1,1
2022-01-04 15:00:00,Centro,35.34,16.5,83.5,1.57,84.3,0,15,1,1
2022-01-04 16:00:00,Centro,33.16,14.9,87.1,8.11,195.4,0,16,1,1
2022-01-04 17:00:00,Centro,26.1,18.2,89.7,7.51,37.0,0,17,1,1
2022-01-04 18:00:00,Centro,21.73,16.4,85.4,0.29,245.9,0,18,1,1
2022-01-04 19:00:00,Centro,18.35,17.5,90.8,1.04,187.0,0,19,1,1
2022-01-04 20:00:00,Centro,11.98,19.3,79.3,1.21,343.4,0,20,1,1
2022-01-04 21:00:00,Centro,8.61,20.9,82.5,3.82,258.0,0,21,1,1
2022-01-04 22:00:00,Centro,3.83,21.7,69.5,1.38,164.5,0,22,1,1
2022-01-04 23:00:00,Centro,4.8,24.7,73.4,7.83,82.3,0,23,1,1
2022-01-05 00:00:00,Centro,13.54,24.9,72.2,0.32,35.0,0,0,1,2
2022-01-05 01:00:00,Centro,8.49,27.2,64.5,1.9,117.2,0,1,1,2
2022-01-05 02:00:00,Centro,5.13,26.8,61.4,0.21,152.7,0,2,1,2
2022-01-05 03:00:00,Centro,6.99,26.8,63.5,0.15,43.0,0,3,1,2
2022-01-05 04:00:00,Centro,8.53,27.5,53.0,3.21,3.7,0,4,1,2
2022-01-05 05:00:00,Centro,17.09,27.0,57.3,0.3,277.6,0,5,1,2
2022-01-05 06:00:00,Centro,21.04,25.7,55.5,0.78,46.4,0,6,1,2
2022-01-05 07:00:00,Centro,17.58,25.6,56.6,0.83,232.0,0,7,1,2
2022-01-05 08:00:00,Centro,28.91,24.0,54.0,1.5,292.0,0,8,1,2
2022-01-05 09:00:00,Centro,27.79,24.3,72.5,1.29,183.7,0,9,1,2
2022-01-05 10:00:00,Centro,38.15,23.7,62.4,1.71,80.8,0,10,1,2
2022-01-05 11:00:00,Centro,34.56,19.5,65.3,3.28,194.2,0,11,1,2
2022-01-05 12:00:00,Centro,41.31,19.2,73.2,1.16,92.6,0,12,1,2
2022-01-05 13:00:00,Centro,32.09,17.0,65.7,1.22,197.0,0,13,1,2
2022-01-05 14:00:00,Centro,31.27,17.8,83.2,1.18,285.1,0,14,1,2
2022-01-05 15:00:00,Centro,31.23,17.6,85.0,1.55,64.1,0,15,1,2
2022-01-05 16:00:00,Centro,31.15,15.4,82.4,0.57,5.5,0,16,1,2
2022-01-05 17:00:00,Centro,25.56,16.9,94.0,2.14,125.9,0,17,1,2
2022-01-05 18:00:00,Centro,14.48,15.0,82.5,2.82,248.1,0,18,1,2
2022-01-05 19:00:00,Centro,16.26,18.0,72.4,2.67,22.3,0,19,1,2
2022-01-05 20:00:00,Centro,11.99,19.8,80.8,1.97,11.9,0,20,1,2
2022-01-05 21:00:00,Centro,7.07,20.6,78.9,0.65,257.6,0,21,1,2
2022-01-05 22:00:00,Centro,3.81,22.5,75.6,1.02,5.3,0,22,1,2
2022-01-05 23:00:00,Centro,11.89,24.6,72.9,1.18,247.4,0,23,1,2
2022-01-06 00:00:00,Centro,2.82,27.3,66.0,4.68,28.6,0,0,1,3
2022-01-06 01:00:00,Centro,1.5,26.3,63.3,2.88,193.2,0,1,1,3
2022-01-06 02:00:00,Centro,8.93,27.1,60.0,1.92,182.3,0,2,1,3
2022-01-06 03:00:00,Centro,9.28,28.5,63.1,2.11,221.5,0,3,1,3
2022-01-06 04:00:00,Centro,11.56,27.3,63.3,15.46,22.0,0,4,1,3
2022-01-06 05:00:00,Centro,18.6,28.7,59.9,0.61,302.3,0,5,1,3
2022-01-06 06:00:00,Centro,21.3,26.4,59.6,11.88,37.4,0,6,1,3
2022-01-06 07:00:00,Centro,24.68,26.5,48.1,0.81,176.9,0,7,1,3
2022-01-06 08:00:00,Centro,30.7,24.3,50.8,4.05,87.2,0,8,1,3
2022-01-06 09:00:00,Centro,31.08,22.5,57.6,5.0,65.1,0,9,1,3
2022-01-06 10:00:00,Centro,29.85,22.2,63.9,2.31,33.6,0,10,1,3
2022-01-06 11:00:00,Centro,32.36,19.7,64.8,1.34,68.8,0,11,1,3
2022-01-06 12:00:00,Centro,32.23,18.0,72.5,0.17,293.2,0,12,1,3
2022-01-06 13:00:00,Centro,34.64,17.6,81.7,2.1,7.8,0,13,1,3
2022-01-06 14:00:00,Centro,27.99,15.9,79.1,0.46,235.3,0,14,1,3
2022-01-06 15:00:00,Centro,22.58,16.5,87.1,5.67,257.2,0,15,1,3
2022-01-06 16:00:00,Centro,27.15,16.5,85.3,0.29,192.6,0,16,1,3
2022-01-06 17:00:00,Centro,17.83,16.6,90.5,1.81,200.7,0,17,1,3
2022-01-06 18:00:00,Centro,11.48,18.5,81.4,4.93,35.9,0,18,1,3
2022-01-06 19:00:00,Centro,16.89,17.6,78.7,1.9,252.8,0,19,1,3
2022-01-06 20:00:00,Centro,8.93,18.5,86.1,0.12,238.2,0,20,1,3
2022-01-06 21:00:00,Centro,10.65,20.5,84.3,2.68,141.7,0,21,1,3
